Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
21,Oregon,2,0,6,0.6250,0.7391,0.5646,0.6805,0.6827,0.7324,0.6096,0.6995,0.6162,0.7289,0.6697,0.6377,0.6408,0.5971,0.7054,0.2895,0.7229,0.4104,0.5761,0.5326,0.6176,0.2905,0.6934
22,Texas,3,1,6,0.6774,0.7598,0.5077,0.5463,0.4712,0.5962,0.5983,0.5855,0.5666,0.6265,0.6089,0.9629,0.3940,0.4158,0.3421,0.3640,0.6944,0.7080,0.7370,0.3337,0.3662,0.5519,0.4104
23,Michigan,2,2,6,0.7273,0.7118,0.6608,0.5080,0.6923,0.5164,0.7163,0.6978,0.5117,0.6795,0.8283,0.5164,0.5965,0.6482,0.5838,0.4649,0.5625,0.2963,0.3481,0.5690,0.4467,0.7884,0.6274
24,Rutgers,0,3,6,0.7368,0.5481,0.6586,0.7412,0.7788,0.8075,0.7753,0.8135,0.6580,0.8277,0.6814,0.4066,0.7245,0.7306,0.5336,0.2544,0.6774,0.7840,0.7872,0.4620,0.5399,0.5436,0.3396
25,Northwestern,1,0,7,0.6538,0.6136,0.4858,0.6326,0.4567,0.3427,0.4831,0.5423,0.6292,0.6253,0.4555,0.8516,0.3463,0.3721,0.4033,0.4079,0.8428,0.8890,1.0000,0.7275,0.7309,0.6307,0.4717
26,Alabama,1,1,7,0.6296,0.8067,0.6455,0.3099,0.6298,0.7793,0.7472,0.7185,0.2846,0.5892,0.5859,0.7946,0.6458,0.6865,0.3991,0.3860,0.6698,0.2626,0.4539,0.5917,0.5348,0.7303,0.8349
27,Virginia Tech,1,2,7,0.5769,0.8084,0.5886,0.4760,0.5769,0.7793,0.7612,0.6494,0.4935,0.6373,0.5926,0.7461,0.6392,0.6441,0.5496,0.3947,0.6212,0.3423,0.4746,0.6506,0.5266,0.4938,0.6132
28,Iowa St,1,3,7,0.6071,0.8278,0.6980,0.3035,0.5865,0.7934,0.9522,0.7237,0.3211,0.6096,0.6016,0.8873,0.6620,0.7143,0.4189,0.4737,0.6774,0.2117,0.4086,0.4897,0.4827,0.6639,0.6274
29,OK St,1,0,8,0.6786,0.6701,0.5667,0.5942,0.6154,0.7042,0.5140,0.5976,0.6580,0.6771,0.6258,0.8702,0.5311,0.4990,0.6808,0.4605,0.7197,0.5049,0.6519,0.6401,0.6388,0.3651,0.7783
30,Oregon St,1,1,8,0.6000,0.6998,0.5536,0.3866,0.7019,0.9718,0.6882,0.6598,0.3603,0.5831,0.6167,0.5207,0.7059,0.7222,0.6390,0.2895,0.5808,0.0000,0.2390,0.6906,0.5374,0.6722,0.7123
31,Syracuse,1,2,8,0.6250,0.7578,0.5689,0.3706,0.5048,0.4930,0.5562,0.5682,0.4282,0.5506,0.6285,0.6676,0.4780,0.4936,0.5063,0.5088,0.5322,0.3816,0.4113,0.5601,0.3665,0.6017,0.4906
32,S Florida,1,3,8,0.8261,0.6272,0.4354,0.8147,0.3125,0.5164,0.6461,0.5872,0.7520,0.7133,0.7330,0.6248,0.3476,0.4021,0.8679,0.2018,0.6843,0.4264,0.5417,0.8363,0.5443,0.6763,0.4811
33,Wake Forest,0,0,9,0.4800,0.8778,0.4661,0.3962,0.5048,0.5962,0.7107,0.5648,0.3029,0.4904,0.5184,0.7233,0.4569,0.4965,0.4259,0.2763,0.6736,0.2491,0.4463,0.2472,0.3128,0.6224,0.8113
34,Florida St,0,1,9,0.5263,0.7170,0.4420,0.4824,0.4712,0.6197,0.6994,0.4922,0.4674,0.5157,0.5378,0.5193,0.4047,0.4391,0.5118,0.3596,0.5549,0.4724,0.5232,0.3480,0.2815,0.5685,0.6462
35,S Dakota St,0,2,9,0.8400,0.5584,0.5470,0.6358,0.5769,0.5070,0.6826,0.6425,0.5875,0.6759,0.6595,0.7118,0.5431,0.6166,0.5567,0.3421,0.6048,0.4607,0.5161,0.5902,0.4381,0.9170,0.5330
36,Washington St,0,3,9,0.5000,0.7352,0.3961,0.5591,0.3846,0.5728,0.6882,0.4922,0.4491,0.5072,0.5336,0.7247,0.3923,0.3971,0.5034,0.2325,0.5795,0.4147,0.4714,0.6613,0.4278,0.4108,0.5377
