Rank,Name,Region,Seed,Win Loss %,Scoring Offense,Scoring Defense,Scoring Margin,FG %,FG % Defense,3pt FG / Game,3pt FG %,3pt FG Defense,Free Throw %,Rebound Margin,Assists / Game,Assist Turnover Ratio,Blocked Shots / Game,Steals / Game,Turnovers / Game,Turnover Margin,Person Fouls / Game
56,S. Dakota St.,0,14,79.4,77.3,66.5,10.8,46.9,44.9,8.1,39.3,32.3,73,2.4,14.2,1.36,1.9,6.7,10.5,2.5,16.2
57,Belmont,3,14,79.4,81.5,67.3,14.2,48.4,42.4,8.8,37.8,33.8,73.7,3.1,17.4,1.4,2.3,7.4,12.4,2.1,18.1
58,St. Bonaventure,1,14,64.5,70.7,65,5.7,45.8,41.6,5.4,34.1,32.4,76,5.5,13.8,0.97,4.2,5.7,14.2,-1.6,18.6
59,Loyola Maryland,1,15,75,67.6,63.8,3.8,42.8,42.8,5,34,36.1,71.8,3.7,12,0.89,4.3,7.8,13.5,0.8,18.9
60,Lehigh,0,15,78.8,76.2,65.1,11.1,44.9,41.3,7.4,35.7,32.7,77.6,2.1,13.3,1.17,3,7.8,11.4,3.1,17.8
61,Detroit,3,15,62.9,72.8,67.6,5.1,45.4,43.9,4.6,,36.8,73.4,2,13,1.04,4.6,7.5,12.5,2.7,18.9
62,Norfolk St.,2,15,73.5,69,66.1,2.9,44.3,40.5,5.4,31.1,30.3,65.3,2,12,0.78,4.8,6.9,15.3,-1.1,19.4
63,LIU Brooklyn,2,16,75.8,81.9,77.3,4.5,47.5,44.5,6.6,36.8,32.8,73.1,2.5,14.8,0.92,3.3,6.1,16.2,-2.3,15.8
64,UNC Asheville,1,16,72.7,81.2,71.3,9.9,48.4,44.4,6.5,35.3,35.3,76.2,1.4,16.6,1.24,2.7,8.5,13.5,2.6,17.9
65,Lamar,3,16,67.6,73.9,65.4,8.5,43.5,41.9,4.4,,34.3,72.1,5.2,13,1.07,4.5,8.2,12.1,2.3,17.3
66,Vermont,3,16,67.6,67.2,60.5,6.7,44.3,40.8,5.4,34.6,31.9,74.2,3.6,13.3,1.07,2.4,6.2,12.4,0.4,17.3
67,Mississippi Val.,0,16,63.6,68.9,69.3,-0.4,40.2,43.7,7.5,32.8,38.8,65,0.1,13.3,0.92,2.4,8.8,14.5,1.8,20.4
68,Western Ky.,0,16,45.5,65.1,68,-2.9,39.7,43.1,5.7,30.8,33.3,69.3,-0.2,11.1,0.74,4.1,5.5,15,-0.5,19.8
