Rank,Name,Games Won,Region,Seed,S.o.S.,Win Pct.,Scoring Margin,Scoring Off.,Scoring Def.,FG Pct.,FG Pct. Def.,3pt FG Pct.,3pt FG Pct. Def.,Free Throw Pct.,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists /  Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
,Murray St.,1,2,13,0.2860,0.8561,0.9454,0.7330,0.7362,0.9023,0.8605,0.6313,0.3855,0.5089,0.5240,0.8246,0.4853,0.4921,0.3696,0.5052,0.5094,0.2963,0.6923,0.8615,0.6333
,Winthrop,-1,0,16,0.2963,0.1537,0.0765,0.0000,0.6979,0.0000,0.7209,0.0000,0.8434,0.1716,0.3840,0.5731,0.7059,0.6190,0.1413,0.0000,0.5660,0.5802,0.4038,0.6769,0.4444
,Sam Houston St.,0,0,14,0.3270,0.6098,0.6011,0.8495,0.3617,0.6391,0.3488,0.6872,0.3855,0.5266,0.4587,0.7485,0.5588,0.6349,0.8587,1.0000,0.4528,0.4321,0.1154,0.5231,0.3111
,Old Dominion,1,0,11,0.3330,0.5707,0.5847,0.2476,0.8809,0.4887,0.6860,0.3408,0.7711,0.1657,0.1310,0.9883,0.9412,0.4286,0.5217,0.4948,0.4057,0.5185,0.1731,0.5231,0.7889
,North Texas,0,2,15,0.3448,0.5341,0.2787,0.5728,0.3574,0.5865,0.3372,0.4469,0.5181,0.5976,0.8244,0.7135,0.2941,0.7778,0.0978,0.1443,0.0849,0.2840,0.1731,0.0000,0.5444
,UC Santa Barb.,0,3,15,0.3605,0.3878,0.1530,0.2816,0.5149,0.4887,0.5000,0.6927,0.7349,0.3728,0.5595,0.3450,0.0000,0.4127,0.1739,0.3299,0.2547,0.1728,0.2115,0.3692,0.4000
,Ohio,1,3,14,0.3740,0.1683,0.3224,0.5728,0.3872,0.3308,0.5698,0.5810,0.6506,0.6272,0.5538,0.4503,0.4706,0.6667,0.4130,0.3505,0.4906,0.5185,0.1346,0.4769,0.4333
,St. Mary's,2,0,10,0.4231,0.7512,0.7541,0.8301,0.5021,0.7820,0.4302,0.8771,0.9759,0.8698,0.2407,0.7310,0.2941,0.7460,0.7609,0.5979,0.2264,0.6667,0.6538,0.1231,0.6667
,Houston,0,3,13,0.4598,0.0683,0.2404,0.7864,0.1362,0.2782,0.0000,0.5642,0.3614,0.5680,0.4145,0.0000,0.5735,0.0000,0.7174,0.1959,1.0000,0.9753,0.1923,0.7846,0.4667
,Utah St.,0,0,12,0.4679,0.6415,0.7869,0.5485,0.7745,0.8120,0.6628,0.9162,0.5542,0.8639,0.0899,0.8480,0.2353,0.6032,1.0000,0.6392,0.3491,0.8272,0.2885,0.0308,0.7556
,Richmond,0,0,7,0.4776,0.5707,0.4044,0.3350,0.6638,0.4737,0.7907,0.5363,0.8072,0.4734,0.1818,0.1871,0.0441,0.4286,0.4348,0.2062,0.6321,0.7037,0.5000,0.6000,0.5333
,Vanderbilt,0,2,4,0.5488,0.5341,0.4699,0.7233,0.3745,0.6541,0.5698,0.6369,0.3735,0.6450,0.6893,0.5146,0.3235,0.6508,0.2500,0.2577,0.2547,0.4074,0.6154,0.2154,0.4000
,New Mex. St.,0,3,12,0.5494,0.3317,0.0601,0.7864,0.0000,0.5940,0.1163,0.6480,0.0964,0.5089,0.4762,0.3509,0.2353,0.6032,0.4239,0.3814,0.3113,0.5062,0.2500,0.2308,0.6111
,Kansas St.,3,2,2,0.5704,0.6268,0.5738,0.8350,0.3574,0.5038,0.4535,0.5642,0.3494,0.2840,1.0000,0.7719,0.9412,0.4127,0.3152,0.4227,0.5000,0.3086,0.5385,0.4462,0.0444
,Butler,5,2,5,0.5861,0.8390,0.5683,0.3738,0.7574,0.5263,0.5349,0.4860,0.6627,0.7751,0.5668,0.6901,0.0735,0.3651,0.3261,0.2165,0.3868,0.5679,0.0962,0.3692,0.4778
,UTEP,0,2,12,0.5866,0.6878,0.6503,0.6505,0.5787,0.6992,0.8140,0.5140,0.6867,0.3254,0.5024,0.5205,0.1618,0.8095,0.4239,0.4227,0.5283,0.4691,0.3269,0.6769,0.3889
,Gonzaga,1,2,8,0.5872,0.6878,0.5956,0.7379,0.4596,0.8346,0.6395,0.6034,0.4699,0.2722,0.7745,0.7602,0.2794,0.9841,0.3261,0.2887,0.2642,0.4815,0.4231,0.3538,0.5333
,Florida,0,2,10,0.5996,0.2561,0.3552,0.4466,0.5277,0.4586,0.3605,0.3240,0.5181,0.5030,0.2889,0.6199,0.6471,0.3968,0.4565,0.3505,0.4057,0.5926,0.1346,0.4308,0.9222
,UNI,2,3,9,0.6044,0.8390,0.5082,0.0437,1.0000,0.3609,0.6628,0.5475,0.3855,0.8107,0.1845,0.6491,0.1029,0.2540,0.3043,0.0000,0.4245,0.8025,0.0000,0.1692,0.7556
,UNLV,0,3,8,0.6055,0.5537,0.5464,0.5291,0.6043,0.5940,0.7209,0.4190,0.4458,0.5976,0.2345,0.4444,0.1471,0.4603,0.7174,0.5773,0.6415,0.6543,0.2885,0.5231,0.2778
,New Mexico,1,1,3,0.6168,0.8488,0.5410,0.6893,0.4553,0.4361,0.3837,0.6704,0.3976,0.3550,0.7260,0.8129,0.6471,0.6667,0.6087,0.3814,0.5189,0.7160,0.2885,0.3692,0.5667
,BYU,1,2,7,0.6638,0.7854,0.9891,1.0000,0.5362,0.7744,0.6163,0.9162,0.3976,1.0000,0.4673,0.7719,0.2059,0.9206,0.7174,0.5464,0.6415,0.6790,0.3077,0.6308,0.6333
,Siena,0,0,13,0.6665,0.7000,0.5738,0.6359,0.5319,0.5714,0.3837,0.3799,0.4217,0.3136,0.5367,0.7135,0.6029,0.6508,0.4891,0.3918,0.5472,0.5926,0.3077,0.6769,1.0000
,Kentucky,3,1,1,0.6767,1.0000,0.7814,0.8155,0.5319,0.7218,0.9186,0.4804,0.5663,0.3669,0.6667,0.9357,0.8235,0.9206,0.3043,0.4124,0.2264,0.3086,1.0000,0.4462,0.7333
,Wake Forest,1,1,9,0.6983,0.3024,0.2623,0.5146,0.4000,0.4135,0.8953,0.3240,0.9036,0.2544,0.6076,0.7368,0.8529,0.9365,0.0543,0.1134,0.1698,0.2222,0.6346,0.4462,0.3000
,Texas A&M,1,0,5,0.7253,0.4585,0.3934,0.4563,0.5489,0.4436,0.5698,0.4358,0.3373,0.2604,0.7641,0.6140,0.4412,0.5397,0.2935,0.1546,0.4434,0.5802,0.2692,0.3385,0.4778
,Marquette,0,1,6,0.7307,0.3317,0.4973,0.5097,0.5787,0.5338,0.1512,0.8436,0.5663,0.7278,0.2748,0.4035,0.2059,0.0317,0.8043,0.4639,0.6509,0.8272,0.0385,0.5385,0.6333
,Xavier,2,2,6,0.7318,0.5341,0.6175,0.8544,0.3702,0.6241,0.5698,0.6536,0.8434,0.5680,0.6416,0.7895,0.5441,1.0000,0.3804,0.3711,0.2547,0.4691,0.3462,0.3692,0.4444
,California,1,0,8,0.7377,0.4049,0.5410,0.7573,0.4000,0.7068,0.3140,0.6592,0.5181,0.8284,0.3433,0.7018,0.3971,0.4762,0.5109,0.3918,0.3491,0.6173,0.0962,0.2000,0.6444
,Notre Dame,0,0,6,0.7388,0.3537,0.4044,0.6602,0.3787,0.6842,0.2907,0.7765,0.1566,0.6272,0.4243,0.6725,0.3824,0.4762,0.9783,0.6392,0.2642,0.8148,0.1923,0.1692,0.8444
,Clemson,0,1,7,0.7415,0.3561,0.5355,0.5291,0.5957,0.5263,0.4767,0.4525,0.8434,0.2485,0.3479,0.5789,0.6176,0.3810,0.2391,0.3608,0.5094,0.2716,0.5385,0.8000,0.5889
,Temple,0,1,5,0.7464,0.7854,0.4973,0.1214,0.9234,0.3985,0.9419,0.4637,1.0000,0.4260,0.0000,0.7310,0.3529,0.7460,0.7391,0.4124,0.3396,0.8025,0.1731,0.0462,0.9000
,San Diego St.,0,3,11,0.7474,0.5537,0.4973,0.3981,0.6809,0.7068,0.6395,0.3743,0.2048,0.0000,0.4259,0.8655,0.6324,0.4286,0.3043,0.2990,0.2642,0.4444,0.4808,0.4769,0.7333
,Missouri,1,1,10,0.7545,0.3829,0.6612,0.7379,0.5106,0.4361,0.5930,0.6480,0.6747,0.6568,0.3569,0.3216,0.6176,0.1746,0.4783,0.4742,0.8962,0.4938,0.5192,1.0000,0.3889
,Texas,0,1,8,0.7696,0.4780,0.6448,0.9126,0.3447,0.6466,0.6744,0.5028,0.5181,0.1006,0.6777,0.8713,0.8971,0.9365,0.3370,0.3918,0.3679,0.3827,0.7308,0.5231,0.3444
,Minnesota,0,2,11,0.7728,0.2122,0.5027,0.5097,0.5872,0.6767,0.6744,0.8324,0.2892,0.5030,0.2405,0.5906,0.3088,0.5397,0.6304,0.6186,0.4245,0.5309,0.6731,0.5538,0.7000
,Georgia Tech,1,3,10,0.7885,0.2829,0.4317,0.5291,0.5191,0.5865,0.9419,0.6536,0.6024,0.1657,0.4125,0.7368,0.6765,0.8889,0.1522,0.3608,0.1604,0.0741,0.6923,0.5385,0.4667
,Villanova,1,0,2,0.8079,0.5927,0.5464,0.9757,0.2085,0.6165,0.6163,0.6760,0.3133,0.7929,0.7125,0.7778,0.6765,0.6825,0.2935,0.3299,0.3962,0.3951,0.3654,0.5231,0.0444
,Purdue,2,0,4,0.8176,0.7634,0.5738,0.4223,0.7191,0.4737,0.6628,0.3575,0.0843,0.6450,0.4484,0.4327,0.2353,0.2540,0.6087,0.3402,0.7358,0.7531,0.4808,0.3846,0.4556
,Ohio St.,2,3,2,0.8354,0.6415,0.7268,0.5728,0.7064,0.8496,0.5698,0.7430,0.2530,0.4201,0.2581,0.5965,0.0294,0.4921,0.6196,0.4124,0.5377,0.7037,0.4038,0.4154,0.8333
,Kansas,1,3,1,0.8484,1.0000,1.0000,0.9417,0.5957,0.7895,0.9651,0.8603,0.4096,0.4970,0.6237,0.8713,0.6029,1.0000,0.6413,0.6598,0.3679,0.4938,0.8462,0.6154,0.5000
,Washington,2,1,11,0.8505,0.4780,0.5519,0.8447,0.3362,0.5188,0.4651,0.3911,0.6265,0.6509,0.6978,0.7251,0.6912,0.5714,0.3913,0.3402,0.5755,0.5185,0.3654,0.4462,0.1333
,Maryland,1,3,4,0.8516,0.5146,0.6612,0.8204,0.4383,0.6692,0.8372,0.7207,0.3735,0.6213,0.3565,0.5029,0.5735,0.7302,0.7065,0.5876,0.5943,0.6420,0.5385,0.5385,0.6667
,Florida St.,0,2,9,0.8575,0.4366,0.4699,0.2961,0.7489,0.5414,1.0000,0.4469,0.4217,0.1716,0.3672,0.8012,0.5735,0.6349,0.1087,0.3299,0.1981,0.0247,0.8269,0.6154,0.5556
,Wisconsin,1,1,4,0.8613,0.5146,0.6339,0.2476,0.9191,0.4586,0.4884,0.5922,0.3614,0.6982,0.1163,0.6023,0.1324,0.2222,0.7717,0.2165,0.5755,1.0000,0.3077,0.1846,0.7111
,Baylor,3,0,3,0.8797,0.6098,0.6612,0.7379,0.5064,0.7970,0.8837,0.7542,0.3735,0.6627,0.3632,0.8655,0.5147,0.8889,0.2935,0.3402,0.0943,0.3827,0.9615,0.3077,0.5444
,Louisville,0,0,9,0.8888,0.2293,0.3880,0.6748,0.3489,0.4812,0.3953,0.4693,0.2530,0.5089,0.4110,0.5673,0.8382,0.1746,0.4457,0.5052,0.4245,0.4074,0.4231,0.5231,0.3000
,West Virginia,4,1,2,0.8910,0.7000,0.5191,0.5146,0.5957,0.3835,0.4186,0.4525,0.3735,0.4675,0.4541,0.8713,1.0000,0.2381,0.6630,0.5155,0.4340,0.6543,0.3846,0.1846,0.5000
,Pittsburgh,1,2,3,0.9142,0.5341,0.3825,0.2767,0.6979,0.4737,0.6977,0.5028,0.6145,0.4615,0.4733,0.7544,0.5294,0.5714,0.5870,0.5258,0.1038,0.5679,0.4231,0.1077,0.6222
,Syracuse,2,2,1,0.9207,0.8390,0.8142,0.9272,0.4638,1.0000,0.7093,0.7263,0.6506,0.3195,0.4234,0.6901,0.4853,0.7460,0.5978,0.8969,0.3774,0.2346,0.8846,0.8615,0.9111
,Michigan St.,4,3,5,0.9255,0.5341,0.5027,0.4951,0.6000,0.6767,0.6395,0.4358,0.4699,0.3787,0.3445,1.0000,0.6912,0.6667,0.5000,0.6186,0.1604,0.3704,0.2115,0.3538,0.5667
,Oklahoma St.,0,3,7,0.9304,0.3829,0.3552,0.5777,0.4128,0.5038,0.4767,0.5419,0.0000,0.5799,0.3590,0.5848,0.1912,0.7302,0.2826,0.1856,0.3208,0.5309,0.1154,0.3077,0.3000
,Georgetown,0,3,3,0.9320,0.4049,0.4590,0.5243,0.5404,0.8647,0.5581,0.7430,0.4578,0.5621,0.2909,0.6023,0.1324,0.3810,0.4239,0.4948,0.1981,0.3951,0.5192,0.4000,0.6556
,Tennessee,3,3,6,0.9806,0.5537,0.4918,0.5437,0.5489,0.5263,0.7674,0.3240,0.8554,0.3077,0.3916,0.5146,0.4265,0.5873,0.3804,0.3711,0.5943,0.4691,0.3462,0.5692,0.3222
,Duke,6,0,1,1.0000,0.7854,0.9071,0.7573,0.6809,0.4286,0.6512,0.7095,0.9880,0.8639,0.4927,0.8187,0.8676,0.5238,0.5652,0.3299,0.6226,0.7284,0.4231,0.3846,0.4778
