Rank,Name,Games Won,Region,Seed,S.o.S.,Win Pct.,Scoring Margin,Scoring Off.,Scoring Def.,FG Pct.,FG Pct. Def.,3pt FG Pct.,3pt FG Pct. Def.,Free Throw Pct.,FT Att. / Game,Rebound Margin,Off. Reb. / Game,Def. Reb. / Game,Assists /  Turnover,Assists / Game,Turnover Margin,Turnovers / Game,Blocks / Game,Steals / Game,Fouls / Game
128,Syracuse,4,3,10,0.8223,0.6735,0.6667,0.4845,0.8123,0.4286,0.7153,0.6150,0.8188,0.4872,0.4185,0.5064,0.6039,0.4165,0.5328,0.4417,0.6250,0.6543,0.4737,0.6944,0.8791
88,Temple,0,0,10,0.7642,0.7438,0.5285,0.4441,0.7155,0.3129,0.6458,0.4706,0.8121,0.5795,0.1866,0.4255,0.5009,0.5071,0.7332,0.3750,0.6667,0.9753,0.2982,0.3056,0.8571
108,Texas,0,1,6,0.9742,0.7086,0.6486,0.5528,0.7302,0.5170,0.7431,0.4866,0.5906,0.3897,0.5847,0.4723,0.4876,0.4393,0.4822,0.2583,0.6750,0.8148,0.5789,0.3194,0.3736
21,Texas A&M,2,1,3,0.8009,0.8934,0.8048,0.6491,0.7918,0.6531,0.7500,0.6096,0.6644,0.4103,0.5617,0.6468,0.5652,0.6248,0.6987,0.7250,0.7000,0.5679,0.3860,0.5694,0.6264
116,Texas Tech,0,3,8,0.9961,0.6950,0.6006,0.5559,0.6804,0.5442,0.6181,0.4439,0.5973,0.8359,0.6161,0.5319,0.4427,0.4284,0.4563,0.3667,0.6000,0.6296,0.5088,0.3889,0.6374
93,Tulsa,-1,2,11,0.8310,0.7313,0.6366,0.5745,0.6979,0.5578,0.6736,0.4545,0.4698,0.4513,0.5571,0.4426,0.4193,0.4923,0.5553,0.4083,0.7917,0.7284,0.2281,0.5694,0.7253
63,UConn,1,0,9,0.7908,0.7902,0.8378,0.5776,0.8915,0.6871,0.9514,0.5615,0.6980,0.9846,0.2450,0.6213,0.3665,0.7346,0.5714,0.4167,0.6167,0.7407,0.6316,0.4028,0.6923
79,UNC Ash.,0,0,15,0.3140,0.7562,0.7177,0.6242,0.7302,0.6327,0.5833,0.3636,0.9262,0.5641,0.6682,0.6128,0.5171,0.6426,0.3170,0.3167,0.6583,0.4321,0.3333,0.8750,0.7473
31,UNCW,0,1,13,0.4974,0.8855,0.7538,0.8168,0.5836,0.6395,0.6111,0.4652,0.5906,0.5897,0.6397,0.5830,0.5870,0.6210,0.5894,0.4583,0.8417,0.7160,0.5439,0.6944,0.0440
91,UNI,1,1,11,0.5961,0.7336,0.6246,0.4410,0.8123,0.6667,0.5417,0.7219,0.5705,0.8615,0.2131,0.3532,0.0515,0.4341,0.5922,0.3250,0.6583,0.8765,0.1579,0.3472,0.9780
33,Utah,1,3,3,0.9004,0.8673,0.7718,0.7453,0.6686,0.9116,0.6667,0.6257,0.3960,0.6718,0.5511,0.7362,0.3736,0.8104,0.6101,0.6000,0.3583,0.5802,0.4912,0.3194,0.9451
129,Vanderbilt,-1,0,11,0.8240,0.6735,0.7868,0.6770,0.7478,0.6599,0.9167,0.7540,0.9866,0.5282,0.5847,0.5574,0.3509,0.9543,0.5676,0.5250,0.3500,0.6049,0.7193,0.1944,0.5385
53,VCU,1,1,10,0.6904,0.8243,0.8288,0.7143,0.7537,0.6259,0.5278,0.6952,0.5101,0.4974,0.4539,0.5830,0.5932,0.4431,0.5790,0.5083,0.9250,0.6420,0.3684,0.9583,0.5275
4,Villanova,5,0,2,0.9079,0.9671,0.9309,0.6522,0.9120,0.6803,0.8819,0.4118,0.6242,0.9795,0.3552,0.6468,0.4130,0.6589,0.6771,0.5833,0.7167,0.6914,0.3860,0.5833,0.8132
22,Virginia,3,3,1,0.8865,0.8934,0.8378,0.5000,0.9648,0.9116,0.6667,0.8396,0.5772,0.8718,0.2267,0.6596,0.2702,0.3484,0.8411,0.5167,0.7167,0.9383,0.2632,0.3472,0.8242
34,Weber St.,0,2,15,0.2083,0.8673,0.8468,0.7329,0.7537,0.8503,0.6736,0.6738,0.5168,0.5077,0.6260,0.7830,0.3634,0.9240,0.4706,0.4583,0.3417,0.5309,0.4035,0.2639,0.7582
35,W. Virginia,0,2,3,0.8642,0.8673,0.9219,0.7764,0.7859,0.6327,0.6319,0.3476,0.7785,0.3897,0.9082,0.9021,0.9006,0.3938,0.4338,0.5250,0.8667,0.3704,0.1930,1.0000,0.0769
110,Wisconsin,2,2,7,0.9201,0.7086,0.6276,0.4410,0.8152,0.4558,0.5764,0.5882,0.2752,0.6205,0.5089,0.6979,0.5745,0.3900,0.3895,0.2167,0.5667,0.7284,0.3158,0.3611,0.8352
9,Xavier,1,2,2,0.8279,0.9569,0.8288,0.7671,0.7038,0.5986,0.7431,0.5936,0.7718,0.7436,0.7499,0.8638,0.6335,0.8558,0.5671,0.6167,0.5750,0.4938,0.3509,0.5833,0.4945
24,Yale,1,1,12,0.4917,0.8912,0.8649,0.6491,0.8504,0.7415,0.7639,0.7059,0.6980,0.3795,0.6301,0.9872,0.7205,0.7164,0.4817,0.5667,0.3917,0.4074,0.5263,0.4028,0.6813
90,Southern U.,-1,1,16,0.1253,0.7336,0.6517,0.5807,0.7067,0.6190,0.6736,0.5989,0.7584,0.3949,0.4791,0.4340,0.4503,0.5529,0.3896,0.2083,0.7500,0.7407,0.3860,0.6528,0.5824
43,Wichita St.,1,0,11,0.6712,0.8503,0.9039,0.5807,0.9531,0.5170,0.8472,0.4813,0.6577,0.6308,0.5135,0.6936,0.5500,0.5223,0.7179,0.4667,0.9750,0.8642,0.3509,0.6389,0.4066
