Rank,Name,Region,Seed,Win Loss Pct,Scoring Offense,Scoring Defense,Scoring Margin,FG Pct,FG Pct Defense,3pt FG per Game,3pt FG Pct,3pt FG Defense,Free Throw Pct,Rebound Margin,Assists per Game,Assist Turnover Ratio,Blocked Shots per Game,Steals per Game,Turnovers per Game,Turnover Margin,Person Fouls per Game
14,Kansas St.,2,4,79.4,69.2,60.4,8.9,43.6,41.8,6.9,36.3,31.5,68.9,3.2,16,1.38,3.6,7.1,11.6,2.7,18.1
15,Saint Louis,3,4,81.8,68.7,58.1,10.6,44.8,41.2,6.2,34.7,32.8,70.6,0.4,12.9,1.12,3.2,7.5,11.5,3.8,17.4
16,Syracuse,1,4,74.3,71.3,60.1,11.3,44,37.7,6.1,33.4,29.8,67.5,4.1,14.5,1.15,6.2,8.9,12.6,2.8,16.2
17,Oklahoma St.,3,5,75,72.4,62.8,9.5,44,39,5.6,31.6,32.2,75,1.8,12.1,0.97,4.8,7.5,12.4,2.3,18
18,UNLV,1,5,73.5,71.6,63,8.6,43.9,38.8,6.5,33,31,70.5,6.6,16.2,1.16,5.8,7.4,14,-0.9,16.9
19,Wisconsin,2,5,67.6,65.5,55.9,9.6,42.5,39.4,7.4,33.4,29.2,63.3,3.7,13.4,1.37,4.3,5.7,9.7,1.5,14
20,VCU,0,5,76.5,77.3,64.8,12.5,44.9,44.4,7.9,35.2,33.6,70.1,0.1,14.7,1.24,3.1,11.8,11.8,8,19.9
21,Arizona,2,6,78.1,73.3,63.7,9.6,45,41.5,7.7,36.3,36,74.8,6,13.8,1.06,3.9,6.9,13.1,0.7,16.3
22,Butler,1,6,76.5,69.3,63.8,5.5,45.3,41.8,6.6,34.8,33.3,68.9,7.7,13.1,0.98,2.4,5.7,13.4,-2.1,18
23,Memphis,3,6,88.2,75.9,65.1,10.8,47.9,40.5,6.2,37.9,33.5,66.6,4.9,17.2,1.18,6.3,9,14.6,0.9,18.1
24,UCLA,0,6,73.5,74.7,68.9,5.8,45.5,42.2,4.9,0,31.9,72.2,-1.9,16.1,1.46,3.7,8.2,11.1,3.1,14.9
25,Creighton,3,7,79.4,75.4,63.1,12.3,50.8,40.7,8.8,42.1,31.3,75,4.9,17.2,1.4,2.6,5,12.3,-1.7,16.2
26,San Diego St.,0,7,68.8,69.2,60.7,8.6,43.8,38.8,5.9,32.4,32.4,67.6,3.5,12.3,1.03,4.6,6.9,11.9,0.8,14.8
27,Notre Dame,2,7,73.5,70.4,63.1,7.2,46.3,41.8,6.6,37.3,32.2,70.7,4.1,17,1.54,3.8,5.1,11.1,-0.7,14.2
28,Illinois,1,7,64.7,69.1,65.3,3.8,41.6,42.7,7.8,32.5,34.3,72.5,-1.3,10.2,0.89,4,6.9,11.5,2.9,18.2
