Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
46,St Mary's,0,0,11,0.875273523,0.652924257,0.8107491857,0.6215692606,0.7516778523,0.755952381,0.6788990826,0.9338061466,0.5504322767,0.8655834564,0.875,0.7257383966,0.772972973,0.782122905,0.5474452555,0.3773584906,0.7339449541,0.32,0.4713846154,0.4763513514,0.67,0.5576036866,0.5842696629
50,Middle Tenn,-1,0,11,0.9015317287,0.4213806328,0.6859934853,0.7791411043,0.7046979866,0.7678571429,0.5458715596,0.7423167849,0.818443804,0.8833087149,0.7604166667,0.7004219409,0.6162162162,0.6424581006,0.795620438,0.4465408805,0.5504587156,0.672,0.6030769231,0.527027027,0.5,0.6543778802,0.5617977528
44,Belmont,0,1,11,0.8621444201,0.4482262704,0.8820846906,0.5705521472,0.8993288591,0.8035714286,0.7110091743,0.865248227,0.6311239193,0.8641063516,0.4739583333,0.4219409283,0.9189189189,0.8994413408,0.5328467153,0.6037735849,0.5779816514,0.776,0.7298461538,0.5371621622,0.63,0.4331797235,0.5880149813
41,Minnesota,1,2,11,0.6761487965,0.9884947267,0.6208469055,0.6451404585,0.5771812081,0.5297619048,0.495412844,0.7588652482,0.5389048991,0.7503692762,0.8020833333,1,0.5189189189,0.5474860335,0.6788321168,0.3144654088,0.5412844037,0.4,0.4313846154,0.6959459459,0.54,0.6405529954,0.6217228464
48,Bucknell,0,3,11,0.9015317287,0.4002876318,0.5631921824,0.7868905392,0.644295302,0.6547619048,0.7568807339,0.7399527187,0.6916426513,0.8168389956,0.7604166667,0.3966244726,0.5351351351,0.5865921788,0.9270072993,0.2578616352,0.9357798165,0.04,0.4584615385,0.4898648649,0.88,0.5622119816,0.808988764
43,Oregon,2,0,12,0.8282275711,0.7708533078,0.7146579805,0.6012269939,0.6040268456,0.505952381,0.5871559633,0.6312056738,0.734870317,0.7710487445,0.7708333333,0.6666666667,0.5189189189,0.5474860335,0.6715328467,0.6477987421,0.4770642202,0.584,0.5070769231,0.3445945946,0.33,0.5714285714,0.734082397
47,Ole Miss,1,1,12,0.8205689278,0.6927133269,0.8960912052,0.4930577979,0.5436241611,0.4523809524,0.4633027523,0.7730496454,0.6426512968,0.8124076809,0.5416666667,0.5780590717,0.5081081081,0.5195530726,0.6934306569,0.7547169811,0.9541284404,0.512,0.752,0.1689189189,0.6,0.5391705069,0.8052434457
51,Akron,0,2,12,0.8621444201,0.5028763183,0.7201954397,0.7126251211,0.6577181208,0.5,0.3027522936,0.7281323877,0.6685878963,0.7976366322,0.7395833333,0.7510548523,0.6432432432,0.5921787709,0.7591240876,0.4968553459,0.5596330275,0.424,0.4670769231,0.5337837838,0.52,0.400921659,0.65917603
42,California,1,3,12,0.6958424508,0.8667305849,0.571009772,0.5766871166,0.5838926174,0.3214285714,0.6330275229,0.5910165485,0.5734870317,0.6632200886,0.640625,0.5316455696,0.4486486486,0.4581005587,0.802919708,0.5031446541,0.6605504587,0.176,0.3963076923,0.5101351351,0.58,0.3548387097,0.7415730337
52,New Mex St,0,0,13,0.750547046,0.5278044104,0.5736156352,0.6474007104,0.6577181208,0.3869047619,0.3623853211,0.63356974,0.6253602305,0.7163958641,0.8020833333,0.7341772152,0.5189189189,0.530726257,0.7445255474,0.4213836478,0.4495412844,0.328,0.3538461538,0.2398648649,0.25,0.7235023041,0.7640449438
45,Boise State,-1,1,13,0.7177242888,0.7468839885,0.7667752443,0.5398773006,0.6912751678,0.8511904762,0.7798165138,0.8085106383,0.5187319885,0.7710487445,0.6979166667,0.4894514768,0.7189189189,0.7374301676,0.3576642336,0.4905660377,0.7064220183,0.488,0.5704615385,0.3445945946,0.56,0.4746543779,0.5018726592
49,La Salle,2,1,13,0.772428884,0.7080536913,0.728990228,0.5104940265,0.6308724832,0.7678571429,0.7339449541,0.7541371158,0.4956772334,0.7252584934,0.359375,0.3839662447,0.6594594595,0.6648044693,0.5109489051,0.5031446541,0.7706422018,0.496,0.6572307692,0.4763513514,0.69,0.3917050691,0.8501872659
