Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Game,Opp Pts / Game,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA
51,Valparaiso,0,0,13,0.8346196251,0.4311594203,0.5497808391,0.7479365079,0.6121212121,0.65625,0.4566210046,0.7016706444,0.7281553398,0.7544141252,0.8145695364,0.7056277056,0.6559139785,0.6342857143,0.6621621622,0.3284313725,0.5210084034,0.359375,0.4139020537,0.4577922078,0.437037037,0.3391812865,0.6885964912
54,UC Irvine,0,2,13,0.6074972437,0.5297906602,0.4843456481,0.6619047619,0.6424242424,0.6979166667,0.497716895,0.6205250597,0.5987055016,0.6356340289,0.5562913907,0.4718614719,0.6559139785,0.6114285714,0.6756756757,0.3235294118,0.5714285714,0.2265625,0.4028436019,0.5649350649,0.5555555556,0.05847953216,0.6447368421
52,Harvard,0,1,13,0.7342888644,0.501610306,0.3810269255,0.8073015873,0.4727272727,0.515625,0.6575342466,0.5727923628,0.7346278317,0.6709470305,0.642384106,0.5800865801,0.4462365591,0.4971428571,0.6148648649,0.2009803922,0.5546218487,0.46875,0.5276461295,0.5974025974,0.4740740741,0.5438596491,0.7280701754
55,Georgia St,1,1,14,0.7133406836,0.4299516908,0.606449593,0.653968254,0.7575757576,0.40625,0.6849315068,0.7303102625,0.6245954693,0.7223113965,0.4039735099,0.4632034632,0.6935483871,0.72,0.5337837838,0.3529411765,0.7058823529,0.609375,0.8120063191,0.4642857143,0.6296296296,0.5087719298,0.4605263158
57,UAB,1,3,14,0.5391400221,0.5768921095,0.524420789,0.4726984127,0.4424242424,0.40625,0.7442922374,0.5322195704,0.4789644013,0.5168539326,0.5430463576,0.645021645,0.4247311828,0.4742857143,0.5,0.431372549,0.487394958,0.3515625,0.4170616114,0.6590909091,0.4518518519,0.4035087719,0.7105263158
56,Northeastern,0,0,14,0.6504961411,0.4577294686,0.5153412649,0.5679365079,0.7939393939,0.6822916667,0.6940639269,0.6563245823,0.4466019417,0.5842696629,0.7549668874,0.4675324675,0.7903225806,0.8228571429,0.4121621622,0.3137254902,0.3025210084,0.140625,0.1279620853,0.6785714286,0.4296296296,0.6432748538,0.9429824561
58,Albany,0,2,14,0.7276736494,0.3031400966,0.4164057608,0.7149206349,0.503030303,0.5364583333,0.8356164384,0.6491646778,0.5436893204,0.6276083467,0.7086092715,0.5757575758,0.5430107527,0.6228571429,0.3783783784,0.2009803922,0.5378151261,0.4453125,0.4952606635,0.2954545455,0.3407407407,0.6198830409,0.7675438596
60,Belmont,0,2,15,0.6615214994,0.4001610306,0.6953663118,0.3933333333,0.7333333333,0.6510416667,0.5342465753,0.7326968974,0.3495145631,0.5874799358,0.4966887417,0.4199134199,0.9086021505,0.8685714286,0.2702702703,0.5098039216,0.4033613445,0.3359375,0.3515007899,0.6461038961,0.4888888889,0.2046783626,0.8070175439
61,Texas So.,0,1,15,0.6196251378,0.2665056361,0.5090795241,0.4707936508,0.5454545455,0.3489583333,0.3926940639,0.5823389021,0.3818770227,0.5024077047,0.4768211921,0.6277056277,0.5215053763,0.5371428571,0.4256756757,0.362745098,0.487394958,0.296875,0.37835703,0.2272727273,0.2740740741,0.6959064327,0.75
59,New Mex St,0,0,15,0.6714443219,0.3639291465,0.5037570445,0.7368253968,0.6484848485,0.5833333333,0.5433789954,0.6754176611,0.6796116505,0.7126805778,0.8013245033,0.8917748918,0.5967741935,0.6342857143,0.5810810811,0.2843137255,0.3697478992,0.46875,0.3791469194,0.3701298701,0.2962962963,0.6783625731,0.7192982456
62,N Dakota St,0,3,15,0.6945975744,0.3655394525,0.4023168441,0.6561904762,0.4787878788,0.6666666667,0.5342465753,0.584725537,0.5080906149,0.5666131621,0.5629139073,0.2727272727,0.5537634409,0.5542857143,0.4189189189,0.2352941176,0.7226890756,0.2265625,0.4834123223,0.1168831169,0.3777777778,0.3391812865,0.7105263158
63,Lafayette,0,2,16,0.5942668137,0.3860708535,0.6728240451,0.3174603175,0.7878787879,0.796875,0.8767123288,0.8042959427,0.1003236246,0.5120385233,0.3642384106,0.3939393939,0.8548387097,0.8685714286,0.1891891892,0.3774509804,0.6302521008,0.1796875,0.4210110585,0.6525974026,0.6962962963,0.2573099415,0.8684210526
64,Coastal Car.,0,1,16,0.7045203969,0.2628824477,0.6161552912,0.6546031746,0.5151515152,0.546875,0.5251141553,0.7350835322,0.6343042071,0.7303370787,0.8543046358,0.7878787879,0.5483870968,0.5714285714,0.5675675676,0.3970588235,0.6386554622,0.3125,0.4399684044,0.237012987,0.3703703704,0.5438596491,0.6666666667
66,Rob. Morris,0,3,16,0.5556780595,0.3707729469,0.5303694427,0.4606349206,0.5333333333,0.625,0.6118721461,0.5584725537,0.4336569579,0.5120385233,0.3377483444,0.5064935065,0.5537634409,0.5657142857,0.3986486486,0.4705882353,0.4537815126,0.4921875,0.532385466,0.3668831169,0.3407407407,0.3625730994,0.6096491228
68,Hampton,0,0,16,0.4619625138,0.2266505636,0.4696305573,0.4698412698,0.3090909091,0.2552083333,0.3515981735,0.4033412888,0.569579288,0.4751203852,0.4834437086,0.5411255411,0.311827957,0.3371428571,0.4932432432,0.6078431373,0.4453781513,0.4140625,0.4233807267,0.2564935065,0.2148148148,0.5614035088,0.3289473684
